date,hour,consumer_type,total_kwh,meter_count,avg_voltage,avg_pf,scaled_mwh,fiscal_year,fiscal_quarter
2024-01-01,0,Commercial,23.127,33,229.58788,0.92054546,1144.79,2023/24,Q3
2024-01-01,0,Domestic,12.466,34,230.78822,0.9196764,617.07,2023/24,Q3
2024-01-01,0,Industrial,2363.098,33,230.58788,0.9211818,116973.34,2023/24,Q3
2024-01-01,1,Commercial,22.987,33,229.89394,0.9181515,1137.86,2023/24,Q3
2024-01-01,1,Domestic,9.264,34,231.04411,0.91311765,458.57,2023/24,Q3
2024-01-01,1,Industrial,2326.54,33,228.23334,0.9163333,115163.73,2023/24,Q3
2024-01-01,2,Commercial,22.619,33,230.53938,0.92121214,1119.64,2023/24,Q3
2024-01-01,2,Domestic,7.4449997,34,229.91765,0.9129118,368.53,2023/24,Q3
2024-01-01,2,Industrial,2363.384,33,229.62727,0.9088182,116987.52,2023/24,Q3
2024-01-01,3,Commercial,22.883999,33,229.9697,0.91336364,1132.76,2023/24,Q3
2024-01-01,3,Domestic,6.201,34,229.97058,0.92361766,306.95,2023/24,Q3
2024-01-01,3,Industrial,2323.354,33,229.91818,0.91515154,115006.02,2023/24,Q3
2024-01-01,4,Commercial,22.791,33,230.1303,0.9239697,1128.15,2023/24,Q3
2024-01-01,4,Domestic,6.221,34,229.23235,0.9242941,307.94,2023/24,Q3
2024-01-01,4,Industrial,2322.204,33,229.55757,0.92890906,114949.1,2023/24,Q3
2024-01-01,5,Commercial,23.006,33,230.02727,0.9192727,1138.8,2023/24,Q3
2024-01-01,5,Domestic,9.382,34,229.7706,0.92097056,464.41,2023/24,Q3
2024-01-01,5,Industrial,2323.101,33,229.8303,0.9115758,114993.51,2023/24,Q3
2024-01-01,6,Commercial,45.789,33,229.1909,0.92493933,2266.56,2023/24,Q3
2024-01-01,6,Domestic,24.925,34,230.07942,0.91482353,1233.79,2023/24,Q3
2024-01-01,6,Industrial,2641.033,33,229.91516,0.92975754,130731.12,2023/24,Q3
2024-01-01,7,Commercial,136.267,33,229.7212,0.9229394,6745.22,2023/24,Q3
2024-01-01,7,Domestic,43.62,34,229.76471,0.9347353,2159.19,2023/24,Q3
2024-01-01,7,Industrial,2920.405,33,230.2606,0.9136363,144560.05,2023/24,Q3
2024-01-01,8,Commercial,209.32901,33,230.19698,0.92760605,10361.79,2023/24,Q3
2024-01-01,8,Domestic,36.807,34,229.43823,0.9240588,1821.95,2023/24,Q3
2024-01-01,8,Industrial,2876.065,33,230.41212,0.9103939,142365.22,2023/24,Q3
2024-01-01,9,Commercial,227.931,33,229.43031,0.9179091,11282.58,2023/24,Q3
2024-01-01,9,Domestic,31.515,34,230.6147,0.9243824,1559.99,2023/24,Q3
2024-01-01,9,Industrial,2919.74,33,231.24545,0.9215758,144527.14,2023/24,Q3
2024-01-01,10,Commercial,227.146,33,230.16364,0.92466664,11243.73,2023/24,Q3
2024-01-01,10,Domestic,28.252,34,229.98235,0.92017645,1398.47,2023/24,Q3
2024-01-01,10,Industrial,2892.311,33,230.13333,0.923303,143169.39,2023/24,Q3
2024-01-01,11,Commercial,228.265,33,229.88788,0.91754544,11299.12,2023/24,Q3
2024-01-01,11,Domestic,30.494,34,229.67058,0.9199706,1509.45,2023/24,Q3
2024-01-01,11,Industrial,2756.0679,33,229.5485,0.9232424,136425.36,2023/24,Q3
2024-01-01,12,Commercial,207.524,33,230.08788,0.92151517,10272.44,2023/24,Q3
2024-01-01,12,Domestic,33.976,34,229.9647,0.9192353,1681.81,2023/24,Q3
2024-01-01,12,Industrial,2622.969,33,229.86363,0.9127576,129836.97,2023/24,Q3
2024-01-01,13,Commercial,227.704,33,229.67575,0.926,11271.35,2023/24,Q3
2024-01-01,13,Domestic,30.963001,34,230.59412,0.92388237,1532.67,2023/24,Q3
2024-01-01,13,Industrial,2772.006,33,229.8,0.9220606,137214.3,2023/24,Q3
2024-01-01,14,Commercial,231.501,33,230.15454,0.91430306,11459.3,2023/24,Q3
2024-01-01,14,Domestic,27.705,34,230.26176,0.9215294,1371.4,2023/24,Q3
2024-01-01,14,Industrial,2871.099,33,230.82121,0.9175758,142119.4,2023/24,Q3
2024-01-01,15,Commercial,225.66501,33,230.59091,0.9334546,11170.42,2023/24,Q3
2024-01-01,15,Domestic,30.918,34,229.95,0.9273235,1530.44,2023/24,Q3
2024-01-01,15,Industrial,2904.647,33,230.09697,0.9256667,143780.03,2023/24,Q3
2024-01-01,16,Commercial,203.856,33,229.68182,0.92063636,10090.87,2023/24,Q3
2024-01-01,16,Domestic,36.832,34,228.9647,0.9196765,1823.18,2023/24,Q3
2024-01-01,16,Industrial,2897.82,33,229.28787,0.9082424,143442.1,2023/24,Q3
2024-01-01,17,Commercial,183.519,33,230.47577,0.9156061,9084.19,2023/24,Q3
2024-01-01,17,Domestic,49.582,34,229.15588,0.9162353,2454.31,2023/24,Q3
2024-01-01,17,Industrial,2978.691,33,230.57272,0.9258182,147445.2,2023/24,Q3
2024-01-01,18,Commercial,114.205,33,230.17879,0.90612125,5653.15,2023/24,Q3
2024-01-01,18,Domestic,61.854,34,229.82648,0.9252941,3061.77,2023/24,Q3
2024-01-01,18,Industrial,2757.379,33,230.73334,0.92830306,136490.25,2023/24,Q3
2024-01-01,19,Commercial,69.144,33,230.17273,0.923303,3422.63,2023/24,Q3
2024-01-01,19,Domestic,68.727,34,230.12059,0.91561764,3401.99,2023/24,Q3
2024-01-01,19,Industrial,2624.4211,33,229.97577,0.9217576,129908.85,2023/24,Q3
2024-01-01,20,Commercial,45.986,33,230.28485,0.9268788,2276.31,2023/24,Q3
2024-01-01,20,Domestic,61.44,34,229.12646,0.92658824,3041.28,2023/24,Q3
2024-01-01,20,Industrial,2489.67,33,229.81212,0.91763633,123238.66,2023/24,Q3
2024-01-01,21,Commercial,33.873,33,230.03938,0.92609096,1676.71,2023/24,Q3
2024-01-01,21,Domestic,56.465,34,230.64117,0.91864705,2795.02,2023/24,Q3
2024-01-01,21,Industrial,2374.895,33,229.2,0.9179697,117557.3,2023/24,Q3
2024-01-01,22,Commercial,27.322,33,229.15758,0.9201212,1352.44,2023/24,Q3
2024-01-01,22,Domestic,43.146,34,229.67941,0.9220588,2135.73,2023/24,Q3
